Food_Item,Food_Type,Day,Orders
Butter Chicken,Non-Veg,Monday,168
Butter Chicken,Non-Veg,Tuesday,151
Butter Chicken,Non-Veg,Wednesday,147
Butter Chicken,Non-Veg,Thursday,170
Butter Chicken,Non-Veg,Friday,201
Butter Chicken,Non-Veg,Saturday,297
Butter Chicken,Non-Veg,Sunday,293
Chicken 555,Non-Veg,Monday,99
Chicken 555,Non-Veg,Tuesday,117
Chicken 555,Non-Veg,Wednesday,132
Chicken 555,Non-Veg,Thursday,91
Chicken 555,Non-Veg,Friday,137
Chicken 555,Non-Veg,Saturday,185
Chicken 555,Non-Veg,Sunday,223
Chicken 65,Non-Veg,Monday,79
Chicken 65,Non-Veg,Tuesday,89
Chicken 65,Non-Veg,Wednesday,73
Chicken 65,Non-Veg,Thursday,83
Chicken 65,Non-Veg,Friday,81
Chicken 65,Non-Veg,Saturday,145
Chicken 65,Non-Veg,Sunday,152
Chicken Biryani,Non-Veg,Monday,118
Chicken Biryani,Non-Veg,Tuesday,144
Chicken Biryani,Non-Veg,Wednesday,126
Chicken Biryani,Non-Veg,Thursday,125
Chicken Biryani,Non-Veg,Friday,174
Chicken Biryani,Non-Veg,Saturday,233
Chicken Biryani,Non-Veg,Sunday,239
Chicken Burger,Non-Veg,Monday,59
Chicken Burger,Non-Veg,Tuesday,70
Chicken Burger,Non-Veg,Wednesday,72
Chicken Burger,Non-Veg,Thursday,83
Chicken Burger,Non-Veg,Friday,105
Chicken Burger,Non-Veg,Saturday,108
Chicken Burger,Non-Veg,Sunday,115
Chicken Curry,Non-Veg,Monday,164
Chicken Curry,Non-Veg,Tuesday,165
Chicken Curry,Non-Veg,Wednesday,154
Chicken Curry,Non-Veg,Thursday,173
Chicken Curry,Non-Veg,Friday,216
Chicken Curry,Non-Veg,Saturday,265
Chicken Curry,Non-Veg,Sunday,366
Chicken Fried Rice,Non-Veg,Monday,65
Chicken Fried Rice,Non-Veg,Tuesday,62
Chicken Fried Rice,Non-Veg,Wednesday,35
Chicken Fried Rice,Non-Veg,Thursday,82
Chicken Fried Rice,Non-Veg,Friday,68
Chicken Fried Rice,Non-Veg,Saturday,154
Chicken Fried Rice,Non-Veg,Sunday,135
Chicken Kathi Roll,Non-Veg,Monday,44
Chicken Kathi Roll,Non-Veg,Tuesday,86
Chicken Kathi Roll,Non-Veg,Wednesday,80
Chicken Kathi Roll,Non-Veg,Thursday,81
Chicken Kathi Roll,Non-Veg,Friday,103
Chicken Kathi Roll,Non-Veg,Saturday,143
Chicken Kathi Roll,Non-Veg,Sunday,134
Chicken Kebab,Non-Veg,Monday,101
Chicken Kebab,Non-Veg,Tuesday,76
Chicken Kebab,Non-Veg,Wednesday,98
Chicken Kebab,Non-Veg,Thursday,106
Chicken Kebab,Non-Veg,Friday,106
Chicken Kebab,Non-Veg,Saturday,161
Chicken Kebab,Non-Veg,Sunday,127
Chicken Lollipop,Non-Veg,Monday,65
Chicken Lollipop,Non-Veg,Tuesday,77
Chicken Lollipop,Non-Veg,Wednesday,70
Chicken Lollipop,Non-Veg,Thursday,58
Chicken Lollipop,Non-Veg,Friday,68
Chicken Lollipop,Non-Veg,Saturday,122
Chicken Lollipop,Non-Veg,Sunday,108
Chicken Noodles,Non-Veg,Monday,98
Chicken Noodles,Non-Veg,Tuesday,105
Chicken Noodles,Non-Veg,Wednesday,91
Chicken Noodles,Non-Veg,Thursday,106
Chicken Noodles,Non-Veg,Friday,123
Chicken Noodles,Non-Veg,Saturday,167
Chicken Noodles,Non-Veg,Sunday,220
Chicken Pizza,Non-Veg,Monday,80
Chicken Pizza,Non-Veg,Tuesday,71
Chicken Pizza,Non-Veg,Wednesday,83
Chicken Pizza,Non-Veg,Thursday,83
Chicken Pizza,Non-Veg,Friday,84
Chicken Pizza,Non-Veg,Saturday,118
Chicken Pizza,Non-Veg,Sunday,106
Chicken Shawarma,Non-Veg,Monday,173
Chicken Shawarma,Non-Veg,Tuesday,149
Chicken Shawarma,Non-Veg,Wednesday,151
Chicken Shawarma,Non-Veg,Thursday,176
Chicken Shawarma,Non-Veg,Friday,196
Chicken Shawarma,Non-Veg,Saturday,264
Chicken Shawarma,Non-Veg,Sunday,318
Chicken Tikka,Non-Veg,Monday,135
Chicken Tikka,Non-Veg,Tuesday,150
Chicken Tikka,Non-Veg,Wednesday,148
Chicken Tikka,Non-Veg,Thursday,178
Chicken Tikka,Non-Veg,Friday,184
Chicken Tikka,Non-Veg,Saturday,278
Chicken Tikka,Non-Veg,Sunday,289
Chicken Wings,Non-Veg,Monday,93
Chicken Wings,Non-Veg,Tuesday,94
Chicken Wings,Non-Veg,Wednesday,127
Chicken Wings,Non-Veg,Thursday,143
Chicken Wings,Non-Veg,Friday,142
Chicken Wings,Non-Veg,Saturday,213
Chicken Wings,Non-Veg,Sunday,229
Egg Biryani,Non-Veg,Monday,48
